restaurant_name,review_text,rating
The Corner Bistro,Wow... Loved this place.,5
Maple & Vine,Crust is not good.,1
Riverside Grill,Not tasty and the texture was just nasty.,1
Oak & Ember,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,5
Harbor House,The selection on the menu was great and so were the prices.,5
Blue Willow,Now I am getting angry and I want my damn pho.,1
Cedar & Salt,Honeslty it didn't taste THAT fresh.),1
The Garden Fork,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,1
Iron Skillet,The fries were great too.,5
Sunset Terrace,A great touch.,5
The Corner Bistro,Service was very prompt.,5
Maple & Vine,Would not go back.,1
Riverside Grill,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,1
Oak & Ember,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",5
Harbor House,I was disgusted because I was pretty sure that was human hair.,1
Blue Willow,I was shocked because no signs indicate cash only.,1
Cedar & Salt,Highly recommended.,5
The Garden Fork,Waitress was a little slow in service.,1
Iron Skillet,"This place is not worth your time, let alone Vegas.",1
Sunset Terrace,did not like at all.,1
The Corner Bistro,The Burrittos Blah!,1
Maple & Vine,"The food, amazing.",5
Riverside Grill,Service is also cute.,5
Oak & Ember,I could care less... The interior is just beautiful.,5
Harbor House,So they performed.,5
Blue Willow,That's right....the red velvet cake.....ohhh this stuff is so good.,5
Cedar & Salt,- They never brought a salad we asked for.,1
The Garden Fork,"This hole in the wall has great Mexican street tacos, and friendly staff.",5
Iron Skillet,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",1
Sunset Terrace,The worst was the salmon sashimi.,1
The Corner Bistro,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",5
Maple & Vine,This was like the final blow!,1
Riverside Grill,I found this place by accident and I could not be happier.,5
Oak & Ember,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",1
Harbor House,"Overall, I like this place a lot.",5
Blue Willow,The only redeeming quality of the restaurant was that it was very inexpensive.,5
Cedar & Salt,Ample portions and good prices.,5
The Garden Fork,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",1
Iron Skillet,My first visit to Hiro was a delight!,5
Sunset Terrace,Service sucks.,1
The Corner Bistro,The shrimp tender and moist.,5
Maple & Vine,There is not a deal good enough that would drag me into that establishment again.,1
Riverside Grill,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,1
Oak & Ember,"On a positive note, our server was very attentive and provided great service.",5
Harbor House,"Frozen pucks of disgust, with some of the worst people behind the register.",1
Blue Willow,The only thing I did like was the prime rib and dessert section.,5
Cedar & Salt,It's too bad the food is so damn generic.,1
The Garden Fork,"The burger is good beef, cooked just right.",5
Iron Skillet,If you want a sandwich just go to any Firehouse!!!!!,5
Sunset Terrace,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",5
The Corner Bistro,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,5
Maple & Vine,He came running after us when he realized my husband had left his sunglasses on the table.,5
Riverside Grill,Their chow mein is so good!,5
Oak & Ember,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",1
Harbor House,The portion was huge!,5
Blue Willow,"Loved it...friendly servers, great food, wonderful and imaginative menu.",5
Cedar & Salt,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,1
The Garden Fork,Not much seafood and like 5 strings of pasta at the bottom.,1
Iron Skillet,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",5
Sunset Terrace,"The ripped banana was not only ripped, but petrified and tasteless.",1
The Corner Bistro,At least think to refill my water before I struggle to wave you over for 10 minutes.,1
Maple & Vine,This place receives stars for their APPETIZERS!!!,5
Riverside Grill,The cocktails are all handmade and delicious.,5
Oak & Ember,We'd definitely go back here again.,5
Harbor House,We are so glad we found this place.,5
Blue Willow,"Great food and service, huge portions and they give a military discount.",5
Cedar & Salt,Always a great time at Dos Gringos!,5
The Garden Fork,Update.....went back for a second time and it was still just as amazing,5
Iron Skillet,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,1
Sunset Terrace,A great way to finish a great.,5
The Corner Bistro,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",5
Maple & Vine,"- Really, really good rice, all the time.",5
Riverside Grill,The service was meh.,1
Oak & Ember,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",1
Harbor House,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",1
Blue Willow,The scallop dish is quite appalling for value as well.,1
Cedar & Salt,2 times - Very Bad Customer Service !,1
The Garden Fork,The sweet potato fries were very good and seasoned well.,5
Iron Skillet,Today is the second time I've been to their lunch buffet and it was pretty good.,5
Sunset Terrace,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,1
The Corner Bistro,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,1
Maple & Vine,walked in and the place smelled like an old grease trap and only 2 others there eating.,1
Riverside Grill,The turkey and roast beef were bland.,1
Oak & Ember,This place has it!,5
Harbor House,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,1
Blue Willow,I love the Pho and the spring rolls oh so yummy you have to try.,5
Cedar & Salt,The poor batter to meat ratio made the chicken tenders very unsatisfying.,1
The Garden Fork,All I have to say is the food was amazing!!!,5
Iron Skillet,Omelets are to die for!,5
Sunset Terrace,Everything was fresh and delicious!,5
The Corner Bistro,"In summary, this was a largely disappointing dining experience.",1
Maple & Vine,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",5
Riverside Grill,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",1
Oak & Ember,Best breakfast buffet!!!,5
Harbor House,say bye bye to your tip lady!,1
Blue Willow,We'll never go again.,1
Cedar & Salt,Will be back again!,5
The Garden Fork,Food arrived quickly!,5
Iron Skillet,It was not good.,1
Sunset Terrace,"On the up side, their cafe serves really good food.",5
The Corner Bistro,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",5
Maple & Vine,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",5
Riverside Grill,"Best Buffet in town, for the price you cannot beat it.",5
Oak & Ember,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",5
Harbor House,This is one of the better buffets that I have been to.,5
Blue Willow,So we went to Tigerlilly and had a fantastic afternoon!,5
Cedar & Salt,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",5
The Garden Fork,The ambience is wonderful and there is music playing.,5
Iron Skillet,Will go back next trip out.,5
Sunset Terrace,Sooooo good!!,5
The Corner Bistro,"REAL sushi lovers, let's be honest - Yama is not that good.",1
Maple & Vine,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",1
Riverside Grill,This is a really fantastic Thai restaurant which is definitely worth a visit.,5
Oak & Ember,"Nice, spicy and tender.",5
Harbor House,Good prices.,5
Blue Willow,Check it out.,5
Cedar & Salt,It was pretty gross!,1
The Garden Fork,I've had better atmosphere.,1
Iron Skillet,Kind of hard to mess up a steak but they did.,1
Sunset Terrace,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",1
The Corner Bistro,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,1
Maple & Vine,"Worst service to boot, but that is the least of their worries.",1
Riverside Grill,Service was fine and the waitress was friendly.,5
Oak & Ember,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",5
Harbor House,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",5
Blue Willow,"Host staff were, for lack of a better word, BITCHES!",1
Cedar & Salt,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,1
The Garden Fork,"Phenomenal food, service and ambiance.",5
Iron Skillet,I wouldn't return.,1
Sunset Terrace,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",5
The Corner Bistro,This place is way too overpriced for mediocre food.,1
Maple & Vine,Penne vodka excellent!,5
Riverside Grill,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",5
Oak & Ember,The management is rude.,1
Harbor House,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",5
Blue Willow,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",5
Cedar & Salt,I had a seriously solid breakfast here.,5
The Garden Fork,This is one of the best bars with food in Vegas.,5
Iron Skillet,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",1
Sunset Terrace,My drink was never empty and he made some really great menu suggestions.,5
The Corner Bistro,Don't do it!!!!,1
Maple & Vine,The waiter wasn't helpful or friendly and rarely checked on us.,1
Riverside Grill,My husband and I ate lunch here and were very disappointed with the food and service.,1
Oak & Ember,And the red curry had so much bamboo shoots and wasn't very tasty to me.,1
Harbor House,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,5
Blue Willow,The bathrooms are clean and the place itself is well decorated.,5
Cedar & Salt,"The menu is always changing, food quality is going down & service is extremely slow.",1
The Garden Fork,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",1
Iron Skillet,I give it 2 thumbs down,1
Sunset Terrace,We watched our waiter pay a lot more attention to other tables and ignore us.,1
The Corner Bistro,My fiancé and I came in the middle of the day and we were greeted and seated right away.,5
Maple & Vine,This is a great restaurant at the Mandalay Bay.,5
Riverside Grill,We waited for forty five minutes in vain.,1
Oak & Ember,Crostini that came with the salad was stale.,1
Harbor House,Some highlights : Great quality nigiri here!,5
Blue Willow,the staff is friendly and the joint is always clean.,5
Cedar & Salt,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,5
The Garden Fork,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,5
Iron Skillet,this place is good.,5
Sunset Terrace,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",1
The Corner Bistro,I came back today since they relocated and still not impressed.,1
Maple & Vine,I was seated immediately.,5
Riverside Grill,"Their menu is diverse, and reasonably priced.",5
Oak & Ember,Avoid at all cost!,1
Harbor House,Restaurant is always full but never a wait.,5
Blue Willow,DELICIOUS!!,5
Cedar & Salt,This place is hands-down one of the best places to eat in the Phoenix metro area.,5
The Garden Fork,So don't go there if you are looking for good food...,1
Iron Skillet,I've never been treated so bad.,1
Sunset Terrace,Bacon is hella salty.,5
The Corner Bistro,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",1
Maple & Vine,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",5
Riverside Grill,The waitresses are very friendly.,5
Oak & Ember,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",5
Harbor House,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,5
Blue Willow,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",1
Cedar & Salt,The service here leaves a lot to be desired.,1
The Garden Fork,"The atmosphere is modern and hip, while maintaining a touch of coziness.",5
Iron Skillet,"Not a weekly haunt, but definitely a place to come back to every once in a while.",5
Sunset Terrace,We literally sat there for 20 minutes with no one asking to take our order.,1
The Corner Bistro,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",1
Maple & Vine,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,1
Riverside Grill,I dressed up to be treated so rudely!,1
Oak & Ember,It was probably dirt.,1
Harbor House,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",5
Blue Willow,I ordered the Lemon raspberry ice cocktail which was also incredible.,5
Cedar & Salt,"The food sucked, which we expected but it sucked more than we could have imagined.",1
The Garden Fork,Interesting decor.,5
Iron Skillet,What I really like there is the crepe station.,5
Sunset Terrace,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",5
The Corner Bistro,you can watch them preparing the delicious food!),5
Maple & Vine,Both of the egg rolls were fantastic.,5
Riverside Grill,"When my order arrived, one of the gyros was missing.",1
Oak & Ember,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",5
Harbor House,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,1
Blue Willow,The best place to go for a tasty bowl of Pho!,5
Cedar & Salt,The live music on Fridays totally blows.,1
The Garden Fork,I've never been more insulted or felt disrespected.,1
Iron Skillet,Very friendly staff.,5
Sunset Terrace,It is worth the drive.,5
The Corner Bistro,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",5
Maple & Vine,Food was great and so was the serivce!,5
Riverside Grill,The warm beer didn't help.,1
Oak & Ember,Great brunch spot.,5
Harbor House,Service is friendly and inviting.,5
Blue Willow,Very good lunch spot.,5
Cedar & Salt,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,1
The Garden Fork,The WORST EXPERIENCE EVER.,1
Iron Skillet,Must have been an off night at this place.,1
Sunset Terrace,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",5
The Corner Bistro,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",1
Maple & Vine,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",1
Riverside Grill,My friend loved the salmon tartar.,5
Oak & Ember,Won't go back.,1
Harbor House,Extremely Tasty!,5
Blue Willow,Waitress was good though!,5
Cedar & Salt,Soggy and not good.,1
The Garden Fork,The Jamaican mojitos are delicious.,5
Iron Skillet,Which are small and not worth the price.,1
Sunset Terrace,- the food is rich so order accordingly.,5
The Corner Bistro,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",1
Maple & Vine,The service was a bit lacking.,1
Riverside Grill,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",1
Oak & Ember,Hopefully this bodes for them going out of business and someone who can cook can come in.,1
Harbor House,"It was either too cold, not enough flavor or just bad.",1
Blue Willow,I loved the bacon wrapped dates.,5
Cedar & Salt,This is an unbelievable BARGAIN!,5
The Garden Fork,The folks at Otto always make us feel so welcome and special.,5
Iron Skillet,"As for the ""mains,"" also uninspired.",1
Sunset Terrace,This is the place where I first had pho and it was amazing!!,5
The Corner Bistro,This wonderful experience made this place a must-stop whenever we are in town again.,5
Maple & Vine,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",1
Riverside Grill,Very very fun chef.,5
Oak & Ember,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",1
Harbor House,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,5
Blue Willow,"If it were possible to give them zero stars, they'd have it.",1
Cedar & Salt,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",1
The Garden Fork,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",5
Iron Skillet,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,1
Sunset Terrace,"Everyone is very attentive, providing excellent customer service.",5
The Corner Bistro,Horrible - don't waste your time and money.,1
Maple & Vine,Now this dish was quite flavourful.,5
Riverside Grill,By this time our side of the restaurant was almost empty so there was no excuse.,1
Oak & Ember,"(It wasn't busy either) Also, the building was FREEZING cold.",1
Harbor House,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",1
Blue Willow,-Drinks took close to 30 minutes to come out at one point.,1
Cedar & Salt,"Seriously flavorful delights, folks.",5
The Garden Fork,Much better than the other AYCE sushi place I went to in Vegas.,5
Iron Skillet,The lighting is just dark enough to set the mood.,5
Sunset Terrace,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,1
The Corner Bistro,Owner's are really great people.!,5
Maple & Vine,There is nothing privileged about working/eating there.,1
Riverside Grill,The Greek dressing was very creamy and flavorful.,5
Oak & Ember,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",1
Harbor House,Now the pizza itself was good the peanut sauce was very tasty.,5
Blue Willow,We had 7 at our table and the service was pretty fast.,5
Cedar & Salt,Fantastic service here.,5
The Garden Fork,I as well would've given godfathers zero stars if possible.,1
Iron Skillet,They know how to make them here.,5
Sunset Terrace,very tough and very short on flavor!,1
The Corner Bistro,I hope this place sticks around.,5
Maple & Vine,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",1
Riverside Grill,The restaurant atmosphere was exquisite.,5
Oak & Ember,"Good service, very clean, and inexpensive, to boot!",5
Harbor House,The seafood was fresh and generous in portion.,5
Blue Willow,"Plus, it's only 8 bucks.",5
Cedar & Salt,"The service was not up to par, either.",1
The Garden Fork,"Thus far, have only visited twice and the food was absolutely delicious each time.",5
Iron Skillet,Just as good as when I had it more than a year ago!,5
Sunset Terrace,"For a self proclaimed coffee cafe, I was wildly disappointed.",1
The Corner Bistro,The Veggitarian platter is out of this world!,5
Maple & Vine,You cant go wrong with any of the food here.,5
Riverside Grill,You can't beat that.,5
Oak & Ember,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",5
Harbor House,The chefs were friendly and did a good job.,5
Blue Willow,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",1
Cedar & Salt,I liked the patio and the service was outstanding.,5
The Garden Fork,The goat taco didn't skimp on the meat and wow what FLAVOR!,5
Iron Skillet,I think not again,1
Sunset Terrace,I had the mac salad and it was pretty bland so I will not be getting that again.,1
The Corner Bistro,I went to Bachi Burger on a friend's recommendation and was not disappointed.,5
Maple & Vine,Service stinks here!,1
Riverside Grill,I waited and waited.,1
Oak & Ember,"This place is not quality sushi, it is not a quality restaurant.",1
Harbor House,I would definitely recommend the wings as well as the pizza.,5
Blue Willow,Great Pizza and Salads!,5
Cedar & Salt,Things that went wrong: - They burned the saganaki.,1
The Garden Fork,We waited an hour for what was a breakfast I could have done 100 times better at home.,1
Iron Skillet,This place is amazing!,5
Sunset Terrace,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",1
The Corner Bistro,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,1
Maple & Vine,Just don't know why they were so slow.,1
Riverside Grill,"The staff is great, the food is delish, and they have an incredible beer selection.",5
Oak & Ember,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",1
Harbor House,I didn't know pulled pork could be soooo delicious.,5
Blue Willow,"You get incredibly fresh fish, prepared with care.",5
Cedar & Salt,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,1
The Garden Fork,I love the fact that everything on their menu is worth it.,5
Iron Skillet,Never again will I be dining at this place!,1
Sunset Terrace,The food was excellent and service was very good.,5
The Corner Bistro,Good beer & drink selection and good food selection.,5
Maple & Vine,Please stay away from the shrimp stir fried noodles.,1
Riverside Grill,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,1
Oak & Ember,Food was really boring.,1
Harbor House,Good Service-check!,5
Blue Willow,This greedy corporation will NEVER see another dime from me!,1
Cedar & Salt,"Will never, ever go back.",1
The Garden Fork,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",1
Iron Skillet,"In the summer, you can dine in a charming outdoor patio - so very delightful.",5
Sunset Terrace,I did not expect this to be so good!,5
The Corner Bistro,Fantastic food!,5
Maple & Vine,She ordered a toasted English muffin that came out untoasted.,1
Riverside Grill,The food was very good.,5
Oak & Ember,Never going back.,1
Harbor House,"Great food for the price, which is very high quality and house made.",5
Blue Willow,The bus boy on the other hand was so rude.,1
Cedar & Salt,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",1
The Garden Fork,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",5
Iron Skillet,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",5
Sunset Terrace,All the bread is made in-house!,5
The Corner Bistro,The only downside is the service.,1
Maple & Vine,"Also, the fries are without a doubt the worst fries I've ever had.",1
Riverside Grill,Service was exceptional and food was a good as all the reviews.,5
